"Source:","D:\9. noveno semestre\embebidos\esquematico_ESP32_version2.0\esp32_2.kicad_sch"
"Date:","5/16/2022 10:44:34 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","compra"
"","","Boot/flash1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQQ2","~",""
"","","C1","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C2","1nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C3","1nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C4","100u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C_in_50V_470","470u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x6.9","~",""
"","","C_out_35v1","220u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x6.9","~",""
"","","Cabeza1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~",""
"","","CFF1","1nf","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","D1","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~",""
"","","D1SMD1"," 1N5825","pspice:DIODE","Diode_SMD:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder","~",""
"","","D2","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","https://articulo.mercadolibre.com.co/MCO-638946948-diodo-led-smd-1206-x-5-unidades-_JM?searchVariation=88912430079#searchVariation=88912430079&position=43&search_layout=stack&type=item&tracking_id=d4231f3d-9e3d-4e5a-af3b-f00ddaa8a1b0"
